,name,description
45,Women's Oboz Sawtooth Trekking Shoes,"These Oboz Sawtooth hiking shoes are the perfect combination of an athletic profile and heavy-duty tread, making them suitable for a walk in the park or tackling the most challenging trails. The ventilated design offers breathability and comfort in warm weather.

Size & Fit: Order your regular shoe size.

Specs: Approx. weight: 1 lb. 8 oz.

Construction:
- New upper and panel mesh are softer and more breathable. 
- Nubuck leather upper with abrasion-resistant synthetic panels. 
- 3D molded heel counter helps shoes maintain a snug, comfortable heel hold over time. 
- Dual-density EVA midsole provides supportive balanced cushioning. 
- Nylon shank offers added support between heel and forefoot. 
- Classic Oboz Sawtooth sole sheds mud and provides exceptional traction. 
- Sidewall lugs grip off-camber trails while shaving weight. 
- Low-density EVA pods provide cushioning and comfort. 
- Imported."
46,Kids' OluKai Nohea Breeze Slip-Ons,"With its handsewn seam stitching, comfy fit and easy-going style, these Hawaiian-inspired kids' OluKai slip-ons are sure to be instant favorites from the get-go. Constructed with lightweight, durable cotton canvas upper, with soft microfiber lining, the shoes feature elastic goring for easy on/off, an anatomical compression-molded EVA footbed with arch and heel contour for all-day support, and a rubber cupsole for year-round conditions. The all-weather rubber outsole has heavy gauge sidewall stitching and molded rubber pods for traction. Additional features include a versatile Drop-in Heel? that lets kids wear them as a shoe or a slide, a removable and washable footbed, and embroidered logo detailing. Imported. ""Nohea Lole"" translates to ""handsome/lovely."""
47,Angler's Athletic Shorts,"These high-performance fly-fishing shorts are also great for all-around wear. They're made with super-comfortable, durable materials with built-in technical fishing features.

Size & Fit
Standard Fit: Sits lower on the waist and straight through the hip and thigh for a streamlined look.

Fabric & Care
90% nylon, 10% spandex. UPF 50+ rated ?C the highest rated sun protection possible. Machine wash cold with like colors, tumble dry low.

Construction
Quick-drying lightweight synthetic fabric with four-way stretch for comfort and performance. Articulation provides active range of motion.

Additional Features
Two front slash pockets with nylon web reinforcements for knife/tool clip. Nylon web belt loops are low profile and rugged. Right-rear and left-front-thigh zippered security pockets for wallet, phone or other essentials. Center front button is secure and extremely durable. Imported.

Sun Protection That Won't Wear Off 
Our high-performance fabric provides SPF 50+ sun protection, blocking 98% of the sun's harmful rays."
48, Print Flannel Trousers,"Welcome crisp fall nights with cozy flannel pajama pants, complete with pockets and an easy-on drawstring waist. Size & Fit Classic Fit: Sits at the waist. Inseam: 30"". Petite 28"". Fabric & Care 100% cotton flannel, brushed for extra softness. Machine wash and dry. Imported. Questions? Contact our customer service team for further assistance."
49,Premium Double L Short-Sleeve Polo Banded Without Pocket,"This extraordinary all-cotton polo simply will not wrinkle, fade, shrink or pill. Size & Fit - Traditional Fit: Relaxed through the chest, sleeve and waist. Why We Love It - We??ve updated the fit of our most popular polo, with trimmer, shorter sleeves that sit higher on the shoulders. It will look and feel great for years to come. Fabric & Care - Super-soft cotton pique-knit allows air to circulate. Machine wash and dry. Additional Features - Printed label for added comfort. Imported. 

 for Business - Your Logo. Our Quality. SAVE UP TO 20% WITH VOLUME DISCOUNTS - Add your logo to this product for business outfitting, gear and gifts."
50,"CamelBak Chute Mag Elite Water Bottle, 12 oz.","This new-and-improved Chute water bottle features a magnetic top that easily stows the cap while you're drinking. 100% leakproof, it's a great choice for staying hydrated during all your outdoor adventures. 

Specs 
- Capacity: 12 oz. 
- Height: 7.9"" 
- Weight: 4.5 oz. 

Construction 
- BPA-, BPS- and BPF-free. 
- Made from Tritan copolyester. 
- Cap is made from polypropylene. 

Additional Features 
- Magnetic handle keeps cap stowed while drinking. 
- 100% leakproof design. 
- Ergonomic high-flow spout. 
- Comfortable carry handle. 
- All parts are top rack dishwasher safe. 
- Fits most car cup holders. 
- Imported."
51,Mountain Peak Polarized Sunglasses,"The Native Catamount features a semi-rimless, vented frame that's ideal for cycling, Nordic skiing, mountain biking and other high-energy pursuits. Interchangable lenses allow you to adapt these polarized sunglasses to changing light conditions. Construction includes lenses that selectively filter UV for higher contrast and crisp definition, blocking up to four times more infrared light than standard lenses. The frames are made of Rhyno-Tuff AIR, a light and durable material, with Cushinol nose and temple pads to prevent slipping, cam-action hinges for durability and crisp opening, and a tri-laminate frame construction that improves durability. The Mastoid Temple Grip helps keep frames in place and the Advanced polarized N3 polycarbonate lenses are extremely durable. Frames are also made from biodegradable caster resin instead of petroleum-based products. Imported."
52,Women's Salomon Sense Adventure Trail Runner,"These Salomon trail shoes offer a great fit and generous cushioning so you can push the mileage and stay comfortable all day. We recommend ordering a half larger than your regular shoe size or your regular Salomon size. Approx. weight: 1 lb. per pair. Drop: 8 mm. 

Construction:
- 3D printed open-mesh upper is lightweight and highly breathable.
- Sensifit upper cradles the foot for a secure, custom-fit feel.
- Quicklace one-pull tightening system with a lace pocket to stow laces out of the way.
- OrthoLite sock liner keeps feet cooler and drier and adds plush cushioning. 
- Vibe assembly limits vibration for a smooth ride.
- Feel confident on slick and slippery surfaces with the Contragrip outsole.
- Imported.

If you have any questions, please do not hesitate to contact us."
53,Tropicview Baseball Cap,"This sun-blocking baseball hat features a rear flap for extra coverage. It provides UPF 50+ rated sun protection, the highest possible. 

Fabric & Care 
Body: 71% nylon, 29% polyester. 
Mesh: 85% polyester, 15% S.Cafe polyester. 
Sweatband: 100% polyester. 
Handwash, line dry.

Additional Features 
Rear flap allows additional protection and can be tucked away when not needed. 
Elastic cord allows for infinite adjustment for a fit that's always comfortable. 
Coolmax sweatband wicks away moisture to keep you comfortable in even the hottest of weather. 
Dark underbrim does not reflect sun. 
Mesh side panels increase ventilation. 
Imported."
54,Cozy Cable Knit Slipper Sock,"Inspired by our traditional fisherman's sweater, our cable-knit slipper socks are made from soft New Zealand lambswool that will keep your feet warm on cold mornings. 

Fabric & Care: Handwash, dry flat.

Construction: Upper: 85% New Zealand lambswool, 15% acrylic. Outsole: Suede leather for indoor traction. Sock top is ribbed to stay up. Open-cell foam footbed provides cushioning and insulation.

Additional Features: Roll them up and take them with you when you travel to make any place feel more like home. Imported. 

Questions? Please contact us if you have any questions."
55,"oblast

NanoBoost","This innovative new product provides a wide range of benefits for its users. If you have any questions about how it works, our experts are here to help.

This innovative new product provides a wide range of benefits for its users. If you have any questions about how it works, our customer support team is available to answer your queries."
56,Timeless Textured Stripe Sweater,"A textured stripe adds even more beauty to our 100% cashmere sweater. It's perfectly timeless and made of the finest fibers on earth. 

Size & Fit
- Slightly Fitted: Softly shapes the body.
- Falls at hip. 

Why We Love It
For thousands of years, Inner Mongolia has produced the finest cashmere yarns. So soft and supple, it's the most beautiful cashmere we've ever felt ?C and it's the source for all of our Classic Cashmere Sweaters.

Fabric & Care 
- 100% Inner Mongolian two-ply cashmere.
- Handwash and dry flat, or dry clean. 

Additional Features
- Narrow ribbed trim.
- Imported."
57,Arctic Flip 18 Cooler,"This premium soft-sided cooler features state-of-the-art insulation and construction that keep food and drinks impressively cold for days. The Hopper Flip 18 is also super-durable, leakproof, and versatile for many outdoor uses. 

Specs: 
Exterior dimensions: 12.6??H  x 15.6??W ?? 10.25??D.
Interior dimensions: 10.25""H x 14.25??W x 8.5??D.
Weight: 5.1 lb.
Capacity: 20 12 oz. cans (with 2-to-1 ice-to-can ratio).

Construction: 
DryHide high-density fabric shell is waterproof and resistant to mildew, punctures, and UV rays.
Liner is made from FDA-approved food grade material.
ColdCell closed-cell rubber foam offers far superior cold-holding to ordinary soft coolers.
HydroLok zipper is the toughest, most water- and leakproof cooler zipper in the world.
Wide-mouth opening allows easy access and visibility to contents.
Hitchpoint Grid allows easy attachment of a bottle opener, carabiners,"
58,"-Functional

Traveler's Companion Backpack.","This day pack is a lightweight, fun option that is perfect for travel. It packs up small, into its own internal pocket, making it easy to take with you wherever you go. Here are the specs:

Capacity: 1,343 cu. in., 22 L.
Weight: 14 oz.
Dimensions: 19""H x 10""W x 7""D. 
Packed size: 8"" x 7"".

It is made of super-light and extra-tough ripstop nylon fabric, and features a panel-load design for greater convenience. The padded foam shoulder straps and back panel ensure all-day comfort, and the back panel also features wicking Air Mesh. There are multiple pockets for organizing your gear, including a front ""shove it"" pocket that is easily accessible.

The day pack also features an internal stow pocket for easy packing, two mesh water-bottle pockets with loop locks to keep bottles secure, an adjustable waistbelt and sternum strap to keep the pack secure against your body, and a ??Blinky?? loop for attaching a light. It is imported."
59,"AquaSport Swimwear, Bottom","Our BartSport Swim Bottom is crafted with premium Italian swim fabric that is breathable and quick-drying. Chlorine-resistant and long-lasting, it will withstand the sun, chlorine and heat up to 10 times longer than unprotected fabrics. The moderate leg openings provide great coverage and maintain its shape season after season of fun. Rated to UPF 50+, it offers protection from the sun's UV rays. Handwash and line dry for best results. Mix and match BartSport Swim Separates to create the perfect suit. Imported."
60,Katablock Wind Hooded Jacket,"This lightweight wind jacket is softer, lighter and more breathable than the average windbreaker. With its fun colorblock design, it resists the elements, keeping you dry and comfortable.

Size & Fit
- Slightly Fitted: Relaxed through the chest and sleeve, with a slightly slimmer waist.
- Best with midweight layer.
- Falls below hip.

Fabric & Care
- Weather-resistant and ultralight 100% nylon.
- Moisture-wicking 100% polyester lining keeps you dry and comfortable.
- Machine wash and dry.

Additional Features
- Adjustable hood easily stows away when you don't need it.
- One chest pocket, two zipper pockets.
- Elastic cuffs.
- Hem drawcord.
- Imported."
61,Women's Cozy Comfort Cross Band Slide,"These ultra-cozy cross-band slides feature plush shearling underfoot and on the slide straps, making them luxuriously comfortable.

Size & Fit: Half sizes order up.

Fabric & Care: Spot clean only with mild soap & water, using damp cloth. Allow to dry away from direct heat.

Construction: 
- Footbed and straps lined with the finest premium shearling.
- Super cushioned foam midsole. 
- Whip stitch detail provides extra durability. 
- Lamb fur is dyed and treated. 
- Rubber outsole for extra traction and long-lasting durability. 
- Imported.

Questions? Reach out to our customer service team for assistance."
62," Top

Soft Cotton Colorblock Crew-Neck Top","A lighter double-knit layer ?C ideal for transitioning from spring into summer. Crafted in a heathered blend of 98% cotton and 2% nylon for supreme comfort. 

Size & Fit: Slightly Fitted: Relaxed through the chest and sleeve, with a slightly slimmer waist. 

Why We Love It: For decades, our Two-Layer River Driver's Shirt has been a warm favorite for cool days and harsh, wet weather. When warmer days call for something lighter with just as much comfort, this colorblocked shirt is the answer. 

Fabric & Care: Machine wash and dry. 

Additional Features: Raglan sleeves offer ease of motion. Ribbed collar and cuffs. Straight hem looks great untucked. Imported."
63,Swix XC Comfort Gloves,"These insulated cross-country ski gloves are designed for those colder days when you need maximum protection on the trails. They're also a great choice if you're into running no matter how cold it gets. Construction features include a Gore Windstopper Outer shell that blocks all wind, a neoprene flex panel for excellent range of motion, PrimaLoft insulation for reliable warmth, reflective piping for visibility in low light, a synthetic leather palm for excellent grip and a Swix-Dry lining that wicks moisture away from skin, keeping your hands dry. Imported.  Have questions? Contact us for assistance."
64,Kiddos' Superb Slippers,"Our shearling slippers wrap completely around little feet for soft, cozy comfort. 

Size & Fit: Half sizes order up.

Fabric & Care: Made with superior sheepskin. Naturally warm premium shearling lining draws moisture away from feet. Genuine lamb fur is dyed and treated. Spot clean.

Additional Features: Durable outsole for added traction and occasional outdoor use. Imported."
65,Mountain Peak Fleece Jacket,"Our Mountain Pile Fleece Jacket is the perfect addition to your winter wardrobe. Whether you wear it on its own or as an extra layer, you can rest assured that you'll stay warm and comfortable. 

Size & Fit: Slightly Fitted. Best with midweight layer. Falls at hip.

Fabric & Care: Shell: 100% polyester. Piecing: 55% polyester/45% nylon. Machine wash and dry.

Additional Features: This versatile design is perfect for any outdoor activity, from the trail to around town. The heavyweight sherpa fleece provides unbeatable warmth and plush comfort. Elastic cuffs and hem keep out the chill. Imported."
66,"Ragg Wool Sweater, Crewneck","Our versatile ragg sweater is crafted with a soft and comfortable cotton/linen blend and features thick waffle stitching for added texture. Cut slim through the chest, sleeve and waist, this sweater is lightweight and perfect for layering. With 71% cotton and 29% linen, it offers comfortable warmth without ever feeling too heavy. The ribbed trim keeps its shape and allows for easy layering over a tee or woven shirt. Imported."
67,Men's Tropical Adventure Zip-Leg Pants,"Keep your options open with these Men??s convertible cargo pants. The two quick zips allow you to adapt to any weather, quickly transforming the pants into shorts. 

Size & Fit
Inseams: Pants 31?""; Shorts 7"".
Classic Fit: Sits at the natural waist and trim, with a traditional straight leg.

Fabric & Care
94% nylon, 6% spandex wicks moisture and resists wrinkles. Built-in SunSmart? UPF 50+ rated ?C the highest rated sun protection possible. Machine wash and dry.

Additional Features
Button front with zip fly. Adjustable nylon belt. Two front slash pockets, two cargo pockets, two rear pockets. Zippered security pocket. Elastic inserts in waist. Imported.

Sun Protection That Won't Wear Off
Our high-performance fabric provides SPF 50+ sun protection, blocking 98% of the sun's harmful rays."
68,? Men's Arctic Trekkers,"Warm, dry feet have been a timeless staple, so L.L. has kept their innovative 1912 design the same. 

Size & Fit
With light- or midweight socks: Whole sizes, order 1 size down. Half sizes, order 1? sizes down.
With heavyweight socks: Whole sizes, order your normal size. Half sizes, order the next size down.

Why We Love Them
Whoever says ??they don??t build things like they used to?? must not have a pair of these boots. Today, our signature boots are still handcrafted right here in Maine ?C one pair at a time ?C by expert craftspeople whose technical skills and passion for their work shines through in every pair of boots they make. Our ??duck?? boots combine the waterproof protection of rubber-bottom boots with the supple comfort of full-grain leather.

Video: One Minute on  Boot Care

Construction
Full-grain leather sheds rain and snow.
Waterproof protection of rubber combined with the comfort of leather.
A uniquely shaped foot form offers comfort and stability, and a steel shank adds support.
Made in Maine."
69,Women's Camo Mountain Fleece Vest,"Designed for unbeatable warmth and plush comfort, our camouflage heavyweight Sherpa-Fleece Vest looks great from mountain peak to base lodge. Why We Love It: We turned to our archives for inspiration when designing this extraplush sherpa fleece. It's the perfect layer for cold days on the mountain, gathering around the campfire, or running into town. 

Fabric & Care: Thick and cozy 300-weight sherpa fleece provides serious warmth during outdoor excursions. 100% polyester. Machine wash and dry. 

Additional Features: Elastic at arm holes and hem for flexible comfort and to block out wind. Features our classic Mount Katahdin logo. Zippered hand pockets."
70,"s

Rain Striders, Patterns","These kids' patterned rain boots are made to stand up to the muddy and wet conditions that little ones get themselves into. They are durable and leakproof in kid-friendly prints, perfect for splashing around on those rainy days. 

Size & Fit - Half sizes order up.

Construction - Durable waterproof rubber won't stiffen or crack over time. Features 3M? Scotchlite? Reflective Material back triangle, removable insole lined in jersey-knit cotton, sure-grip outsole for improved traction and firefighter-boot-inspired grab handles. Imported."
71,Mountain Ready Boys' 3-in-1 Jacket,"This 3-in-1 jacket is waterproof and breathable, with a PrimaLoft liner and lots of features kids will love. It is slightly fitted and made from 100% nylon shell and 100% nylon mini-ripstop liner with 100% polyester PrimaLoft Silver insulation. It offers ultimate weather protection with media ports allowing kids to keep their tunes on while wearing the liner, shell or both. The comfort ratings are light activity to 20?? and moderate activity to -5??. Machine wash and dry. Imported."
72,Fluoroflex Max Tippet,"This strong and durable fluorocarbon tippet material is the perfect choice for nymphs and streamers. Specs: Length: 30 yd. Construction: Made of supple, strong 100% fluorocarbon. Nearly invisible in the water and abrasion resistant, this material is a little stiffer and denser than traditional leader material. Additional features: Ties excellent knots, even to nylon tippet and leaders. USA. If you have any questions, please contact us."
73,Cozy Cuddles Knit Pullover Set,"Perfect for lounging, this knit set lives up to its name. We used ultrasoft fabric and an easy design that's as comfortable at bedtime as it is when we have to make a quick run out. 

Size & Fit 
Pants are Favorite Fit: Sits lower on the waist. 
Relaxed Fit: Our most generous fit sits farthest from the body. 

Fabric & Care 
In the softest blend of 63% polyester, 35% rayon and 2% spandex.

Additional Features 
Relaxed fit top with raglan sleeves and rounded hem. 
Pull-on pants have a wide elastic waistband and drawstring, side pockets and a modern slim leg. 
Imported."
74,Executive Leather Briefcase,"This leather briefcase offers undeniable craftsmanship and world-class quality for your workday. With the finest oiled cowhide leather, antiqued brass-finish hardware and cotton twill lining, it comes with a top zip closure and several additional features. Inside is an interior zipper pocket, a neoprene laptop sleeve with integrated tablet pocket and stud-and-socket tab closure, as well as two front pockets with genuine buckle closures. On the rear is a newspaper pocket with a magnetic snap closure, and there's an embossed logo at the side. Imported. 

Specs: Capacity - Approx. 579 cu. in., 9 L; Weight - 2 lb. 14 oz; Dimensions - 12?""H x 16?""W x 2?""D."
75,"Mens  Footwear, Gumshoes","'s original ""antidote to wet feet,"" our Maine-made gumshoes provide the same waterproof comfort customers have come to expect over the past 100 years. 

Size & Fit
With light- or midweight socks: Whole sizes, order 1 size down. Half sizes, order 1? sizes down. 
With heavyweight socks: Whole sizes, order your normal size. Half sizes, order the next size down.

Why We Love Them
Whoever says ??they don??t build things like they used to,?? doesn??t own these boots. Our  Boots are still sewn right here in Maine ?C one pair at a time ?C by expert craftspeople whose technical skills and passion for their work is evident in every pair of boots they make. Warm, dry feet haven??t gone out of style in a hundred years, so we haven??t needed to change L.L.??s innovative 1912 design.

Video: One Minute on  Boot Care

Construction
Made from premium full-grain leather that sheds rain and snow. Supportive steel shank and rubber chain-tread bottom"
76,Comfort Cotton Slacks,"Our women's Perfect Fit Pants offer an exceptional look and feel. With a blend of 90% jersey-knit cotton and 10% stretchy and resilient Lycra 3D, these pants will stretch and move with you, but never lose their shape. Size & Fit: Inseams: Misses 30"", Petite 28"", Medium Tall 32"", Women's 30"". Classic Fit: Sits at the waist. Slightly fitted through hip and thigh. Straight-leg. Fabric & Care: Made of smooth 90% jersey-knit cotton with 10% stretchy and resilient Lycra 3D. Machine wash and dry. Additional Features: Stretch jersey-knit fabric feels substantial next to skin and offers great coverage. Yarn-dyed for stay-true color, wash after wash. Flat-front elastic waistband. Drapes nicely and doesn't cling. Front pockets. Printed label. Imported."
77,Cozy Cardigan Vest,"This cotton sweater vest is the perfect complement to flannel or plaid. Pair it with your favorite shirt or even a soft knit tee.

Size & Fit
Relaxed Fit: Our most generous fit sits farthest from the body. Falls at hip.

Fabric & Care
100% Cotton. Machine wash, dry flat.

Additional Features
Chevron stitchwork at front panel. Exaggerated side slits. Imported."
78,Women's Stretch Down Quilted Jacket,"Our stretch down puffer coat is the perfect combination of warmth and mobility. It is designed to keep you warm and comfortable in temperatures as low as -35??F and is perfect for light to moderate activities. The slightly fitted coat falls at midthigh and is best layered with midweight clothing. The windproof 100% polyester shell is exceptionally warm and features down insulation that is RDS certified for best practices in animal welfare. Plus, it's equipped with a removable and adjustable hood, one interior pocket, and two zipper hand pockets. The low-profile storm cuffs will keep you protected from the elements. The coat is easy to care for - simply machine wash and dry. This coat is imported."
79,"Freshly Starched Chino Shorts, 6""","The Washed Chinos have a casual washed-down softness and a hint of stretch for exceptional comfort. Perfect for weekends and warm days, these flattering khaki women's shorts are designed to be closer fitting. We recommend ordering one size up for a looser fit. The inseam is 6"" and it sits lower on the waist for a slightly fitted look through the hip and thigh. The fabric is a blend of 99% cotton and 1% spandex for shape retention. The inside waistband is tailored with contrast fabric, and there are front slash pockets and back welt pockets. The fly front is secured with a zipper, and the chinos are machine washable and dryable. Imported. If you have any additional questions, please feel free to reach out."
80,Heritage Cotton/Linen Raglan Poncho,"This ultracozy take on the classic ragg sweater is a hooded poncho crafted from beautifully marled cotton and linen for amazing texture. 

Size & Fit
Relaxed Fit: Our most generous fit sits farthest from the body. Falls at hip.

Fabric & Care
This poncho is made from a midweight blend of 71% cotton and 29% linen. Machine wash, dry flat.

Additional Features
This poncho has a kangaroo front pocket and adjustable side ties. Imported. 

Questions?
Reach out to our customer service team for assistance."
81,Luxe Fleece Neck Cuddler,"Our coziest neckwarmer ever, made from incredibly plush hiloft fleece that resists wind and traps heat for even more warmth. Why We Love It: The outside is inside everything we make. That's why we're committed to making quality products that also minimize environmental impact. We used recycled fabric made entirely from plastic bottles to make this ultrasoft, ultrawarm fleece neckwarmer??because we believe in staying warm and feeling good about it, too. 

Fabric & Care: Extra cozy hiloft fleece with a brushed interior. Plush fibers resist wind and trap heat for even more warmth. Made from 100% recycled polyester for minimal impact on the environment. Machine wash and dry. 

Additional Features: Adjustable for a customized fit. Longer in front for extra coverage. Imported."
82,Mountain Explorer Outdoor Jacket,"This Men's Upland jacket is designed with improved pockets and tough fabric to withstand the most rugged environments. It features exclusive durable Uplander Cloth nylon, treated with highly water-resistant laminate to resist stains, heavy drizzle, and sharp thorns. Articulated sleeves, bi-swing back and underarm gussets offer a relaxed fit and the freedom of movement needed for fast-flying crossers. Hidden vents on back provide ample airflow, while two lower button-front cargo pockets with shell loops, front-loading game bag with zipper, dual zippered pockets, two upper handwarmer pockets, and interior zippered security pocket provide plenty of storage options. Adjustable button cuffs, corduroy trim and license loop on back complete the look. Machine wash and dry. Imported."
83,Lady's Cloche Hat,"This bucket hat is perfect for a day in the sun. Made from soft 100% cotton, the 100% polyester CoolMax? sweatband is designed to wick away moisture. It's easy to pack and store in your beach bag, and the 3"" brim provides extra sun protection. Machine wash and dry for easy care. Imported."
84,Dual Line Spare Arbor Reel Spool,"This durable spare spool is perfect for our Double L Standard Arbor Fly Reel. It is made from anodized, machined 6000-series aluminum, and features a standard arbor design that fits 3 and 4 weight lines. The spool is generously drilled for better balance on light rods, and provides plenty of capacity for line and backing. It is imported, and if you have any questions, please do not hesitate to contact us."
85,"olock

microlock","This hair styling tool is the perfect choice for achieving beautiful results for any hairstyle. With a wide range of features, such as temperature control, a rotating barrel, and a heat-resistant glove, this tool is designed to provide users with the highest quality results. If you have any questions or need help deciding which tool is right for you, our customer service team is here to help. 

This hair styling tool is the perfect choice for achieving beautiful results for any hairstyle. It has a wide range of features, such as temperature control, a rotating barrel, and a heat-resistant glove, which make it highly capable of providing users with the highest quality results. If you have any questions or need help deciding which tool is right for you, our customer service team is available to assist you."
86,"Men's Arctic Sport Muck Trekkers, Mid-Cut","These Men's ankle muck boots with toe bumpers provide feet protection from extreme elements. Waterproof and insulated, they are ideal for cold weather.

Size & Fit: Half sizes order up. Fit best with a midweight sock.

Specs: Approx. weight: 4 lb. 2 oz. per pair.

Construction: Waterproof neoprene and rubber construction. Neoprene bootie wraps comfortably around your foot and calf, shutting out the cold. Breathable Airmesh and fleece lining keep feet warm and comfortable. Thermal foam in the instep area insulates feet from the cold ground. Reinforced outsole has protective toe bumper with molded lugs for traction. 12""H. Imported."
87,Women's Tropical Plaid Shirt,"Our lightest hot-weather shirt lets you beat the heat with a flattering fit.

Size & Fit
- Slightly Fitted: Softly shapes the body.
- Falls at hip.

Fabric & Care
- 52% polyester/ 48% nylon.
- UPF 50+ rated ?C the highest rated sun protection possible.

Additional Features
- Keeps you cool and comfortable by wicking perspiration away from your skin, then dries in minutes.
- Smooth buttons are easy on your hands.
- Wrinkle resistant.
- Front and back cape venting for ventilation.
- Low-profile pockets and side shaping offer a more flattering fit.
- Two front pockets, tool tabs and eyewear loop.
- Imported.

Questions?
Contact us for more information."
88,ProStretch Fleece Hoodie Jacket,"Stay warm, dry and comfortable with our breathable soft-lined women??s hooded fleece jacket. This jacket is made of lightweight ProStretch fabric, which provides extra mobility and is four times more wind resistant than standard fleece. 

Size & Fit: Slightly Fitted. Best with lightweight layer. Falls at hip. 

Fabric & Care: 98% polyester, 2% elastane in main body and sleeves. 92% polyester, 8% elastane in side panels. Machine wash and dry. 

Additional Features: Treated with DWR for water resistance. Repels more moisture than standard fleece. Comfortable moisture-wicking, brushed-fleece interior. ProStretch fabric allows for extra mobility. Flatlock stitching for easy layering. Ponytail port at back of hood. Two hand pockets. Imported. 

 ?C Official Supplier to the U.S. Ski Team
THEIR WILL TO WIN, WOVEN RIGHT IN. LEARN MORE"
89,Garmin Marathoner GPS Running Watch,"The Garmin Forerunner 25 GPS Running Watch is an advanced training timepiece perfect for any runner. Beginners and marathoners alike will benefit from the high-sensitivity GPS that tracks time, distance, pace and calories burned.

Specs: 
Large:
Display Size: 0.91?? x 0.91??
Weight: 1.4 oz
Dimensions: 1.58??W x 1.85??H x 0.55??D
Battery Life: 10 weeks in watch mode; 10 hours in training mode

Small: 
Dimensions: 1.41??W x 1.73??H x 0.55??D
Display Size: 0.73?? x 0.73??
Weight: 1.1 oz
Battery Life: 8 weeks in watch mode; 8 hours in training mode
Battery: Rechargeable lithium-ion
Water Rating: 5 ATM
Memory: Saves up to seven individual runs

Why We Love It: 
Besides tracking distance, pace and calories burned, The Forerunner 25 features Garmin Connect. You can upload your activities to a free online community to see your run on a map, get more detail, see"
90,Benchmade Mountain Ridge Skinner Knife,"Benchmade's premium skinning knife is crafted with cutting-edge materials tested to withstand the toughest conditions. The specs of this blade include a modified clip point style with a 4.2"" blade length and 8.7"" overall length, weighing 4.7 ounces and reaching an impressive hardness of 58-60 HRC. The CPM-S30V stainless-steel blade offers superior edge retention, long-lasting durability and corrosion resistance. The DymaLux handle is contoured to provide a sure grip while dressing game and a leather sheath with belt loop is included. This knife is proudly made in the USA. 

NOTICE: You must be at least 18 years old to purchase this product. Check your state and local laws for any additional restrictions that may apply before ordering."
91,"Manly Muck Boots by ?, 8""","Our legendary Maine-made  Boot ?C designed by ""L.L."" himself in 1912 and keeping feet dry and comfortable ever since. Chances are, you??ll only ever need one pair. Size & Fit: With light- or midweight socks: Whole sizes, order 1 size down. Half sizes, order 1? sizes down. With heavyweight socks: Whole sizes, order your normal size. Half sizes, order the next size down.

Why We Love Them: Whoever says ??they don??t build things like they used to,?? doesn't own these boots. Today, our signature boots are still sewn right here in Maine ?C one pair at a time ?C by expert craftspeople whose technical skills and passion for their work is evident in every pair of boots they make. Warm, dry feet haven??t gone out of style in a hundred years, so we haven??t needed to change L.L.??s innovative design. Video: One Minute on  Boot Care

Construction: Waterproof protection of rubber-bottom boots with the supple comfort of full-grain leather. A uniquely shaped foot form offers comfort and stability, and a"
92,"Men's All-Terrain Katahdin Hiking Boots, Leather Mesh","This lightweight and versatile leather-and-mesh style alpine hiker is perfect for short hikes and everyday wear. Featuring our TEK2.5? waterproof system and wicking lining to keep feet dry and comfortable, this shoe also has a VertiGrip rubber outsole with lugged traction tread for great traction. Additionally, a padded collar, EVA sock liner, and bi-color stacked EVA midsole all add to the comfort of the shoe. Lastly, a D-Ring lace system with speed hooks and our retro Mt. Katahdin logo on the tongue make it easy to put on and take off. Approx. weight: 3 lb. 4 oz. per pair. Height: 4"". Imported."
93,"Rain Dancer Waterproof Boots, Lace-Up","Our classic  Boot design now features all the Storm Chaser features you love. Breakthrough SolarCore insulation technology gives you maximum insulating power with low weight. Comfort ratings: Light activity to 30?? and Moderate activity to -10??. For best fit, wear midweight socks. Half sizes not offered? Order up to the next whole size.

Combining all-weather protection of our Storm Chaser with the timeless design of our iconic  Boots, you get a classic look that is perfect for ice, snow and slush. SolarCore aerogel delivers serious thermal power in one of the thinnest packages on the market. Plus, it??s proven not to lose warmth when wet or compressed.

Construction details include waterproof full-grain nubuck leather, 200-gram water-resistant PrimaLoft for extraordinary warmth, molded EVA midsole, EVA-molded footbed and nylon shank, molded toe bumper and waterproof heel counter, siped rubber outsole with multi-lugged tread, TEK2.5 waterproof/breathable membrane inner lining, and leather/nylon pull-on loop on back collar. Imported."
94,Resilient Comfort Boxer Brief,"We took our exclusive wool performance fabric and designed a comfortable boxer brief for everyday wear. Made from nature's best insulator ?C itch-free merino wool. 

Size & Fit
4.5"" inseam.

Fabric & Care
Breathable, itch-free 100% merino wool provides warmth and comfort. Fine-gauge knit, with flat-lock seams to eliminate chafing. Merino wool naturally resists odors so you stay fresher, longer. Machine wash cold, tumble dry low or line dry in the shade.

Additional Features
Lined waistband for a better fit. Fully functioning fly. Imported."
